title,url,discounted_price,original_price
Authentic MECHLYFE Paramour SBS 80W TC MOD - Black Silver,https://www.cigabuy.com/authentic-mechlyfe-paramour-sbs-80w-tc-mod-black-silver-p-20335.html,$44.22,$80.31 
Authentic Uwell Crown 5 5ml sub-ohm Tank Atomizer - Black,https://www.cigabuy.com/authentic-uwell-crown-5-5ml-sub-ohm-tank-atomizer-black-p-20264.html,$22.76,$35.39 
4 x Authentic Uwell Crown 5 FeCrAl UN2-3 Triple Meshed Coil 0.2ohm,https://www.cigabuy.com/4-x-authentic-uwell-crown-5-fecral-un2-3-triple-meshed-coil-02ohm-p-20282.html,$13.15,$23.25 
Authentic MECHLYFE Paramour SBS 80W TC MOD - Grey Black,https://www.cigabuy.com/authentic-mechlyfe-paramour-sbs-80w-tc-mod-grey-black-p-20336.html,$46.76,$80.31 
5 x Authentic Wotofo nexMESH Clapton Ni80 + A1 0.2ohm Coil,https://www.cigabuy.com/5-x-authentic-wotofo-nexmesh-clapton-ni80-a1-02ohm-coil-p-19390.html,$2.39,$10.67 
Authentic SMOK TFV12 Cloud Beast King RBA Edition Tank - Silver,https://www.cigabuy.com/authentic-smok-tfv12-cloud-beast-king-rba-edition-tank-silver-p-9927.html,$7.28,$22.00 
Authentic asMODus Minikin Reborn 168W TC Box Mod - Royal Blue,https://www.cigabuy.com/authentic-asmodus-minikin-reborn-168w-tc-box-mod-royal-blue-p-11213.html,$23.24,$26.28 
Authentic Wotofo Profile RDTA  - Gunmetal,https://www.cigabuy.com/authentic-wotofo-profile-rdta-gunmetal-p-19385.html,$21.39,$43.27 
4 x Authentic Uwell Crown 5 FeCrAl UN2-2 Dual Meshed Coil 0.3ohm,https://www.cigabuy.com/4-x-authentic-uwell-crown-5-fecral-un2-2-dual-meshed-coil-03ohm-p-20281.html,$11.13,$19.21 
Authentic Vaporesso Target Mini II 2000mAh 50W TC Box Mod - Silver,https://www.cigabuy.com/authentic-vaporesso-target-mini-ii-2000mah-50w-tc-box-mod-silver-p-15516.html,$12.67,$32.25 
Authentic Uwell Crown 5 5ml sub-ohm Tank Atomizer - Blue,https://www.cigabuy.com/authentic-uwell-crown-5-5ml-sub-ohm-tank-atomizer-blue-p-20265.html,$22.76,$35.39 
Authentic Uwell Crown 5 5ml sub-ohm Tank Atomizer - Red,https://www.cigabuy.com/authentic-uwell-crown-5-5ml-sub-ohm-tank-atomizer-red-p-20267.html,$22.76,$35.39 
Authentic Exvape EXpromizer TCX Mesh RDTA 7ml 25mm - Black,https://www.cigabuy.com/authentic-exvape-expromizer-tcx-mesh-rdta-7ml-25mm-black-p-18569.html,$20.75,$28.60 
Authentic Uwell Crown 5 5ml sub-ohm Tank Atomizer - Silver,https://www.cigabuy.com/authentic-uwell-crown-5-5ml-sub-ohm-tank-atomizer-silver-p-20268.html,$22.76,$35.39 
Authentic Vandyvape GAUR-21 Mod - Carbon Fiber Black,https://www.cigabuy.com/authentic-vandyvape-gaur-21-mod-carbon-fiber-black-p-20363.html,$39.40,$59.59 
Authentic Wismec Luxotic MF 100W Box Mod W/O Screen - Black,https://www.cigabuy.com/authentic-wismec-luxotic-mf-100w-box-mod-wo-screen-black-p-12863.html,$6.19,$10.72 
Authentic Lost Vape Grus 100W TC Box Mod - SS / Carbon Fiber,https://www.cigabuy.com/authentic-lost-vape-grus-100w-tc-box-mod-ss-carbon-fiber-p-20076.html,$31.41,$57.40 
Authentic Exvape EXpromizer TCX Mesh RDTA 7ml 25mm - Polished,https://www.cigabuy.com/authentic-exvape-expromizer-tcx-mesh-rdta-7ml-25mm-polished-p-18571.html,$22.03,$26.52 
Authentic Lost Vape Grus 100W TC Box Mod - SS / Zebra Wood,https://www.cigabuy.com/authentic-lost-vape-grus-100w-tc-box-mod-ss-zebra-wood-p-20079.html,$31.41,$57.40 
Authentic Exvape EXpromizer TCX Mesh RDTA 7ml 25mm - Brushed,https://www.cigabuy.com/authentic-exvape-expromizer-tcx-mesh-rdta-7ml-25mm-brushed-p-18570.html,$19.15,$26.52 
